id_deal,cnpj,cliente_caz_nome,ultima_parcela_data,meses_sem_cobranca,valor_recorrente,impacto_estimado_rs
21900,30504910000172,Organix (JOAO CICERO DA SILVA NETO),,2,3997.00,7994.00
23408,54117020000176,W2GO (WHERE2GO SERVICOS NA INTERNET LTDA),,2,2997.00,5994.00
29100,57775388000110,(VIGGI LTDA),,1,5000.00,5000.00
24712,55529395000106,NOWAY C.O.,1740625200000,1,1000.00,1000.00
27368,47246066000120,BREADY,,2,0.00,0.00
30788,36604519000126,Multas.ai (EASY SERVICOS ESPECIALIZADOS CHAPECO LTDA),,0,0.00,0.00
27368,47246066000120,HEVO BREADY,,2,0.00,0.00
20792,57322486000100,NEVERDIE COMERCIO DE ALIMENTOS E BEBIDAS LTDA,,2,0.00,0.00
27368,47246066000120,HEVO BREADY,1764903600000,4,0.00,0.00
