id_subtask,cliente,cnpj,valorr_contratado,mrr_cobrado_avg,diff_mensal,meses,impacto_estimado_rs
86aeeht2u,Wave Wellness/Troffe,56986493000135,8997.00,4998.00,3999.00,12,47988.00
86a60bvke,Allo Esquadrias,28334004000125,3000.00,0.00,3000.00,12,36000.00
86a61646t,Core,11063576000114,2997.00,0.00,2997.00,12,35964.00
86a60cdx5,APD,12709340000175,2997.00,0.00,2997.00,12,35964.00
86aczvb2y,CG Engenharia Ltda,14636703000115,3497.00,524.61,2972.39,12,35668.68
86a83r8cy,OATZ,47366383000180,2697.00,0.00,2697.00,12,32364.00
86ack9tah,Primo Suplementos,22483207000105,2597.00,0.00,2597.00,12,31164.00
86a61534k,Pedrazul Editora,17235167000134,2500.00,0.00,2500.00,12,30000.00
86a8yenvz,OATZ,47366383000180,2497.00,0.00,2497.00,12,29964.00
86a94jdqp,Wonderlev,39299898000186,2197.00,0.00,2197.00,12,26364.00
86adwdd4t,Metz,14959759000100,5497.00,3366.51,2130.49,12,25565.90
86a9w1c1t,Classy Smash,55506107000106,2000.00,0.00,2000.00,12,24000.00
86a60c0eg,América Rental Car,05493355000183,2000.00,0.00,2000.00,12,24000.00
86a5jbz1d,Allo Esquadrias,28334004000125,2000.00,0.00,2000.00,12,24000.00
86aeeht4y,Wave Wellness/Troffe,56986493000135,6997.00,4998.00,1999.00,12,23988.00
86a614key,Noway Drink,55529395000106,1997.00,0.00,1997.00,12,23964.00
86a7ghye0,Instituto Jesus é bom,33971985000151,1997.00,0.00,1997.00,12,23964.00
86a613u27,Med2Go,40112951000177,1997.00,0.00,1997.00,12,23964.00
86a68phwb,Kaowz,44188566000164,1997.00,0.00,1997.00,12,23964.00
86a68phwb,Kaowz,44188566000164,1997.00,0.00,1997.00,12,23964.00
86a7d8yr0,Cepemar,03770522000160,1996.00,0.00,1996.00,12,23952.00
86a63nwg7,Oliveira Rolamentos,31482789000198,1800.00,0.00,1800.00,12,21600.00
86acg6bnp,Incenso fenix,41331701000190,3997.00,2398.10,1598.90,12,19186.80
86a8a8wq4,INFINITY NUTRITION,01205498000191,2000.00,458.68,1541.32,12,18495.84
86a7u3hhq,Grupo Fibra,43635413000155,3497.00,1992.50,1504.50,12,18054.00
86aejzrk1,Pozze,24505115000104,15000.00,13580.33,1419.67,12,17036.00
86acyvtrr,Open Energias,52059517000150,1297.00,0.00,1297.00,12,15564.00
86a9rpg53,Bozi,39314539000150,1997.00,985.00,1012.00,12,12144.00
86a63xack,Pedrazul Editora,17235167000134,1000.00,0.00,1000.00,12,12000.00
86aevadh0,Noway Drink,55529395000106,1000.00,0.00,1000.00,12,12000.00
86a7d55ya,Instituto Versalles,48159042000104,1000.00,0.00,1000.00,12,12000.00
86a6164ac,Core,11063576000114,997.00,0.00,997.00,12,11964.00
86a7d8yrq,Cepemar,03770522000160,597.00,0.00,597.00,12,7164.00
86adyxq84,Axio Equipamentos,61000435000120,2500.00,1916.17,583.84,12,7006.02
86adzc700,Belife,40810601000184,2750.00,2200.00,550.00,12,6600.00
86agaq9gd,Authentic Nutri,51834964000176,4000.00,3497.00,503.00,12,6036.00
86adwygjq,Sol de Verão,47151148000190,5497.00,5079.08,417.92,12,5015.04
86aa5gw54,ECOWE,49417433000136,297.00,0.00,297.00,12,3564.00
86aavb2n3,Psi do Amor,57930365000132,292.00,0.00,292.00,12,3504.00
86af3efda,Mimo Prati ,63843646000150,2997.00,2748.50,248.50,12,2982.00
86a9w1c1t,Classy Smash,55506107000106,2000.00,1863.75,136.25,12,1635.00
86ag85c6m,Girino's,18751620000128,5400.00,5300.00,100.00,12,1200.00
